City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Plettenberg Bay,ZA,2021-10-04 18:14:46,-34.0527,23.3716,52.93,84,21,5.21
219,Fairbanks,US,2021-10-04 18:10:01,64.8378,-147.7164,31.6,94,90,0.0
220,Eureka,US,2021-10-04 18:14:47,40.8021,-124.1637,52.41,62,30,3.47
221,Nanortalik,GL,2021-10-04 18:14:48,60.1432,-45.2371,38.62,78,10,10.85
222,Huancavelica,PE,2021-10-04 18:14:48,-12.7667,-74.9833,49.57,48,42,10.16
223,Gasa,PS,2021-10-04 18:14:48,31.5,34.4667,76.98,59,0,9.66
224,Butaritari,KI,2021-10-04 18:14:49,3.0707,172.7902,81.97,70,92,13.49
225,San Cristobal,VE,2021-10-04 18:14:49,7.7669,-72.225,84.38,47,54,6.49
226,Raudeberg,NO,2021-10-04 18:14:50,61.9875,5.1352,54.19,89,50,8.99
227,Zabid,YE,2021-10-04 18:14:50,14.1951,43.3152,90.1,53,97,6.58
228,Sarti,GR,2021-10-04 18:14:51,40.1,23.9833,65.89,61,0,3.89
229,Sabang,ID,2021-10-04 18:14:51,5.8933,95.3214,82.38,72,47,17.52
230,Padang,ID,2021-10-04 18:14:52,-0.9492,100.3543,75.25,86,100,2.35
231,Tianpeng,CN,2021-10-04 18:14:52,30.9866,103.9393,66.63,98,100,7.38
232,Kaeo,NZ,2021-10-04 18:14:52,-35.1,173.7833,57.33,97,44,3.6
233,Kpandae,GH,2021-10-04 18:14:53,8.4689,-0.0113,79.34,81,62,7.31
234,Verkhnevilyuysk,RU,2021-10-04 18:14:53,63.4453,120.3167,29.8,92,98,5.35
235,Poronaysk,RU,2021-10-04 18:14:54,49.2167,143.1167,38.48,75,4,8.7
236,Raha,IN,2021-10-04 18:11:42,26.2333,92.5167,74.86,95,55,5.03
237,Sorland,NO,2021-10-04 18:14:54,67.667,12.6934,57.27,72,67,32.68
238,Oktyabrskoye,RU,2021-10-04 18:14:54,43.0645,44.7417,46.54,93,90,4.47
239,Methoni,GR,2021-10-04 18:14:55,36.8197,21.7049,71.22,59,0,6.89
240,Santa Maria,BR,2021-10-04 18:14:42,-29.6842,-53.8069,65.61,51,45,8.63
241,Tessalit,ML,2021-10-04 18:14:57,20.1986,1.0114,93.63,9,4,8.01
242,Saint Anthony,US,2021-10-04 18:14:57,45.0205,-93.218,70.79,69,1,3.0
243,Prainha,BR,2021-10-04 18:14:59,-1.8,-53.48,95.56,34,99,8.08
244,Ilulissat,GL,2021-10-04 18:14:59,69.2167,-51.1,30.22,64,75,1.14
245,Siyabuswa,ZA,2021-10-04 18:14:59,-25.1132,29.0445,67.01,58,73,17.27
246,Praya,CV,2021-10-04 18:15:00,14.9215,-23.5087,90.14,51,0,11.5
247,Zirc,HU,2021-10-04 18:15:00,47.2636,17.8737,66.69,54,1,5.79
248,Nome,US,2021-10-04 18:11:08,64.5011,-165.4064,33.87,86,90,18.41
249,Monterey,US,2021-10-04 18:15:01,36.2505,-121.2516,80.83,14,96,5.12
250,Tatarani,RO,2021-10-04 18:15:03,45.0,25.2667,53.76,99,59,3.91
251,Maceio,BR,2021-10-04 18:15:04,-9.6658,-35.7353,74.64,94,40,12.66
252,La Ronge,CA,2021-10-04 18:15:04,55.1001,-105.2842,52.63,29,93,7.67
253,Boende,CD,2021-10-04 18:15:04,-0.2167,20.8667,76.86,75,33,2.19
254,Fortuna,US,2021-10-04 18:15:05,40.5982,-124.1573,52.14,44,34,3.29
255,Paita,PE,2021-10-04 18:15:05,-5.0892,-81.1144,75.76,71,30,17.56
256,Geghamasar,AM,2021-10-04 18:15:05,40.3109,45.6792,44.51,85,59,4.97
257,San Patricio,US,2021-10-04 18:15:07,28.017,-97.5169,90.32,52,98,9.4
258,Santiago,CL,2021-10-04 18:11:55,-33.4569,-70.6483,80.17,18,0,4.61
259,Noumea,NC,2021-10-04 18:12:41,-22.2763,166.4572,62.58,78,0,7.85
260,Kalabo,ZM,2021-10-04 18:15:07,-14.97,22.6814,79.77,39,43,3.71
