City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Coquimbo,CL,-29.9533,-71.3436,56.93,76,0,8.05,clear sky
237,Shingu,JP,33.7333,135.9833,77.99,68,52,7.65,broken clouds
238,Fukue,JP,32.6881,128.8419,79.16,83,0,4.61,clear sky
239,Xingyi,CN,24.1877,102.817,62.65,80,18,2.93,few clouds
240,Constitucion,CL,-35.3333,-72.4167,50.95,77,32,7.47,scattered clouds
241,Naze,JP,28.3667,129.4833,81.52,83,37,18.88,scattered clouds
242,Flinders,AU,-34.5833,150.8552,77.05,59,90,3.0,overcast clouds
243,Yerbogachen,RU,61.2767,108.0108,34.56,96,100,13.56,overcast clouds
244,Hervey Bay,AU,-25.2986,152.8535,80.04,65,0,7.14,clear sky
245,Wagar,SD,16.1525,36.2032,87.26,32,47,2.71,scattered clouds
246,Victoria,HK,22.2855,114.1577,82.45,91,100,15.01,light rain
247,Kokomo,US,40.4864,-86.1336,68.36,85,1,3.44,mist
248,Fortuna,US,40.5982,-124.1573,63.19,64,96,1.99,overcast clouds
249,Asyut,EG,27.181,31.1837,71.78,60,0,9.62,clear sky
250,Najran,SA,17.4924,44.1277,75.85,50,92,3.76,overcast clouds
251,Tevaitoa,PF,-16.7833,-151.5,78.24,70,2,3.29,clear sky
252,Vila,PT,42.0304,-8.1588,55.74,91,100,3.13,overcast clouds
253,Baillif,GP,16.0202,-61.7463,80.64,78,84,11.9,broken clouds
254,Nortelandia,BR,-14.4547,-56.8028,75.96,85,97,1.99,overcast clouds
255,Karabulak,RU,43.3036,44.8964,43.79,88,91,3.6,overcast clouds
256,Sol-Iletsk,RU,51.1631,54.9918,38.25,71,2,8.19,clear sky
257,Goderich,CA,43.7501,-81.7165,66.9,88,34,9.22,scattered clouds
258,Bowen,AU,-20.0167,148.2333,80.82,64,69,14.14,broken clouds
259,Viedma,AR,-40.8135,-62.9967,55.18,50,0,13.62,clear sky
260,Mayo,US,38.8876,-76.5119,73.13,84,90,0.0,overcast clouds
261,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,75,13.8,broken clouds
262,Zhicheng,CN,30.2956,111.5047,67.46,71,86,4.43,light rain
263,Qaqortoq,GL,60.7167,-46.0333,37.9,54,0,3.96,clear sky
264,Voskresenskoye,RU,56.8381,45.4317,36.52,87,100,5.06,overcast clouds
265,Airai,TL,-8.9266,125.4092,78.26,29,6,5.68,clear sky
266,San Francisco Del Mar,MX,16.2333,-94.65,77.68,76,81,28.14,broken clouds
267,Santa Maria,BR,-29.6842,-53.8069,63.7,72,75,12.66,broken clouds
268,Chiredzi,ZW,-21.05,31.6667,68.02,59,0,4.32,clear sky
269,Waingapu,ID,-9.6567,120.2641,84.51,56,45,4.68,scattered clouds
270,Mount Gambier,AU,-37.8333,140.7667,62.51,77,40,10.36,scattered clouds
271,Mizdah,LY,31.4451,12.9801,62.83,81,5,9.42,clear sky
272,Alegrete,BR,-29.7831,-55.7919,62.82,70,100,15.84,overcast clouds
273,Safford,US,32.834,-109.7076,90.07,23,1,3.44,clear sky
274,Sigulda,LV,57.1519,24.8647,35.76,86,100,4.52,overcast clouds
275,Dharmavaram,IN,14.4333,77.7167,75.47,83,100,10.0,overcast clouds
276,Sioux City,US,42.5,-96.4003,74.86,53,1,5.75,clear sky
277,Baykit,RU,61.67,96.37,38.14,98,100,9.86,light rain
278,Hambantota,LK,6.1241,81.1185,79.14,100,20,8.05,few clouds
279,Basco,PH,20.4487,121.9702,83.21,81,86,17.47,overcast clouds
280,Egvekinot,RU,66.3167,-179.1667,23.34,83,100,14.27,overcast clouds
281,Chicama,PE,-7.8447,-79.1469,59.54,85,50,6.4,scattered clouds
282,Severo-Kurilsk,RU,50.6789,156.125,46.76,79,30,15.41,light rain
283,Vao,NC,-22.6667,167.4833,69.69,63,99,12.71,overcast clouds
284,Karpathos,GR,35.507,27.2132,67.96,77,0,2.3,clear sky
285,Tefe,BR,-3.3542,-64.7114,73.54,94,18,0.27,few clouds
286,Kabo,CF,7.6994,18.629,72.28,94,96,2.93,overcast clouds
287,Iranshahr,IR,27.2025,60.6848,77.34,15,0,4.61,clear sky
288,Tutoia,BR,-2.7619,-42.2744,79.88,83,29,11.54,scattered clouds
289,Lodwar,KE,3.1191,35.5973,84.78,44,70,6.49,broken clouds
290,Mercedes,AR,-34.6515,-59.4307,55.85,71,7,7.61,clear sky
291,Zhezkazgan,KZ,47.8043,67.7144,37.0,63,12,9.4,few clouds
292,Te Anau,NZ,-45.4167,167.7167,57.51,57,25,1.92,scattered clouds
293,Talnakh,RU,69.4865,88.3972,26.98,92,100,3.06,overcast clouds
294,Chateaubelair,VC,13.2833,-61.25,79.41,82,100,9.33,overcast clouds
295,Ambagarh Chauki,IN,20.7833,80.7167,74.86,84,23,1.99,few clouds
296,Tiksi,RU,71.6872,128.8694,23.99,70,100,11.88,overcast clouds
297,Buala,SB,-8.145,159.5921,85.17,70,94,7.25,light rain
298,Port Blair,IN,11.6667,92.75,77.04,94,90,9.22,mist
299,Farmington,US,36.7281,-108.2187,70.48,30,75,3.44,broken clouds
300,Half Moon Bay,US,37.4636,-122.4286,63.86,71,40,18.41,scattered clouds
301,Erenhot,CN,43.6475,111.9767,48.36,61,100,26.98,overcast clouds
302,Zharkent,KZ,44.1628,80.0,40.01,31,15,1.5,few clouds
303,Labuhan,ID,-6.8844,112.2051,83.98,59,59,11.32,broken clouds
304,Shimoda,JP,34.6667,138.95,75.56,70,37,9.55,scattered clouds
305,Bandarbeyla,SO,9.4942,50.8122,78.15,83,50,18.34,scattered clouds
306,Rocha,UY,-34.4833,-54.3333,44.73,71,97,4.45,overcast clouds
307,Paris,FR,48.8534,2.3488,53.38,91,0,1.01,clear sky
308,Cherskiy,RU,68.75,161.3,10.56,90,53,3.31,broken clouds
309,Morondava,MG,-20.2833,44.2833,75.24,69,97,3.18,overcast clouds
310,Kuah,MY,6.3265,99.8432,78.8,94,20,2.3,few clouds
