City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Oeiras Do Para,BR,77.7,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
387,Mana,GF,80.26,overcast clouds,5.6592,-53.7767,LE SAMANA
388,Grajau,BR,82.67,clear sky,-5.8194,-46.1386,Hotel Confiança
389,Sidhauli,IN,75.09,clear sky,27.2833,80.8333,Rainbow Garden
391,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
401,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
403,Manzanillo,CU,78.03,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
408,Uaua,BR,76.57,overcast clouds,-9.8414,-39.4817,Hotel Uauá
410,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
411,Eyl,SO,77.45,overcast clouds,7.9803,49.8164,Amiin Hotel
416,Atascocita,US,82.98,scattered clouds,29.9988,-95.1766,Best Western Plus Houston Atascocita Inn & Suites
417,Am Timan,TD,77.76,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
423,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
428,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
429,Kandrian,PG,84.06,light rain,-6.2167,149.55,Kandrian Station
434,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
435,Nouadhibou,MR,76.98,dust,20.931,-17.0347,El Medina
437,Grand-Santi,GF,77.54,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
438,Celestun,MX,82.08,overcast clouds,20.8667,-90.4,Posada Lilia
439,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
441,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
443,Camargo,MX,79.74,clear sky,27.6667,-105.1667,Hotel Santa Fe
445,Pind Dadan Khan,PK,75.74,clear sky,32.5879,73.0456,Qurrashi bbq and tika kabab karahi
454,Port Macquarie,AU,82.38,clear sky,-31.4333,152.9167,Rydges Port Macquarie
455,Rio Rancho,US,78.94,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
456,Key West,US,86.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
457,Feijo,BR,77.13,moderate rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
458,Anage,BR,76.78,overcast clouds,-14.6122,-41.1356,Lagoa Torta Anage Bahia
464,Tabou,CI,76.98,overcast clouds,4.423,-7.3528,hotêl doufoulougou
466,Xucheng,CN,79.5,moderate rain,20.35,110.1288,Haixing Hotel
467,Pasni,PK,79.72,clear sky,25.2631,63.471,Kashmiri Hotal
472,Beldanga,IN,83.17,overcast clouds,23.9333,88.25,"Saha Computer, CSC Centre"
473,Carutapera,BR,78.93,overcast clouds,-1.195,-46.02,Lidera
476,Makurdi,NG,76.17,light rain,7.7411,8.5121,Doo Palace Hotel
478,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
479,Lethem,GY,77.18,overcast clouds,3.3803,-59.7968,Savannah Inn
480,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
482,Yenagoa,NG,75.99,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
484,Emerald,AU,80.74,clear sky,-23.5333,148.1667,The Irish Village
490,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
492,Bonthe,SL,77.68,light rain,7.5264,-12.505,Bonthe Holiday Village
497,Xapuri,BR,79.81,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
504,Sao Filipe,CV,79.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
505,Ulladulla,AU,76.87,broken clouds,-35.35,150.4667,Sandpiper Motel
506,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
512,Sao Felix Do Xingu,BR,80.76,broken clouds,-6.6447,-51.995,Rio Xingu Camping
523,Shenjiamen,CN,78.71,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
530,Road Town,VG,83.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
535,Barreirinha,BR,79.72,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
538,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
540,Tolu,CO,79.32,overcast clouds,9.5239,-75.5814,Hotel Montecarlo
541,Pulaski,US,80.91,scattered clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
543,Muli,MV,83.53,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
544,Nuqui,CO,77.49,moderate rain,5.7125,-77.2708,Hotel Nuquimar
549,Piacabucu,BR,76.6,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
558,Jawhar,SO,76.35,scattered clouds,2.7809,45.5005,hantiwadaag village part one
559,Pimenteiras,BR,86.67,overcast clouds,-6.2453,-41.4192,Hotel rotativo pimentas
560,Matara,LK,78.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
563,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
564,Biltine,TD,82.33,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
566,Pouebo,NC,78.93,clear sky,-20.4,164.5667,RIVÂT LODGE
567,Pagudpud,PH,80.56,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
571,Broken Hill,AU,78.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
576,Indianola,US,75.74,broken clouds,41.3581,-93.5574,Quality Inn Indianola
579,Jacareacanga,BR,76.06,few clouds,-6.2222,-57.7528,Casa do Ian😎
582,Coari,BR,76.84,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
592,Bubaque,GW,83.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
